Year,timeseries,Value
2010,annual growth rate of real gdp per employed person (%),3.8
2011,annual growth rate of real gdp per employed person (%),2.7
2012,annual growth rate of real gdp per employed person (%),-0.7
2013,annual growth rate of real gdp per employed person (%),-0.3
2014,annual growth rate of real gdp per employed person (%),1.3
2015,annual growth rate of real gdp per employed person (%),0.5
2016,annual growth rate of real gdp per employed person (%),1.0
2017,annual growth rate of real gdp per employed person (%),1.2
2018,annual growth rate of real gdp per employed person (%),-0.1
2019,annual growth rate of real gdp per employed person (%),-0.3
