Year,timeseries,Value
2010,transboundary basin area with an operational arrangement for water cooperation (%),100
2011,transboundary basin area with an operational arrangement for water cooperation (%),100
2012,transboundary basin area with an operational arrangement for water cooperation (%),100
2013,transboundary basin area with an operational arrangement for water cooperation (%),100
2014,transboundary basin area with an operational arrangement for water cooperation (%),100
2015,transboundary basin area with an operational arrangement for water cooperation (%),100
2016,transboundary basin area with an operational arrangement for water cooperation (%),100
2017,transboundary basin area with an operational arrangement for water cooperation (%),100
2018,transboundary basin area with an operational arrangement for water cooperation (%),100
