Year,timeseries,Value
2017,protected terrestrial areas (%),
2018,protected terrestrial areas (%),50.0
2019,protected terrestrial areas (%),
2017,key biodiversity areas (kbas) covered by protected areas (%),
2018,key biodiversity areas (kbas) covered by protected areas (%),79.0
2019,key biodiversity areas (kbas) covered by protected areas (%),
