Year,Series,Value
2010,index der ländlichen anbindung,
2011,index der ländlichen anbindung,
2012,index der ländlichen anbindung,
2013,index der ländlichen anbindung,
2014,index der ländlichen anbindung,
2015,index der ländlichen anbindung,99.9
2016,index der ländlichen anbindung,99.9
2017,index der ländlichen anbindung,99.9
2018,index der ländlichen anbindung,99.9
2019,index der ländlichen anbindung,99.9
