Year,Units,Series,Value
2010,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2011,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2012,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2013,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2014,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2015,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2016,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,9.0
2017,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2018,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2019,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,3.3
2020,mn eur,oda (commitments) to public-private partnerships (ppp) for infrastructure,26.5
2010,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2011,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2012,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2013,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2014,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2015,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2016,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,11.01
2017,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2018,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,0.0
2019,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,3.82
2020,"mn usd, constant prices (2020)",oda (commitments) to public-private partnerships (ppp) for infrastructure,30.2
2010,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2011,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2012,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2013,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2014,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2015,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2016,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,9.0
2017,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2018,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2019,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.03
2020,mn eur,oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,24.75
2010,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2011,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2012,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2013,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2014,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2015,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2016,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,11.01
2017,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2018,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.0
2019,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,0.03
2020,"mn usd, constant prices (2020)",oda (gross disbursements) to public-private partnerships (ppp) for infrastructure,28.21
