Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,.,,,
2024,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,-,,,0.0
2025,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,
2023,percentage,birth registration,.,,,
2024,percentage,birth registration,,,,17.0
2025,percentage,birth registration,,,,
2023,percentage,death registration,.,,,
2024,percentage,death registration,,,,83.0
2025,percentage,death registration,,,,
