Year,Value,Units
2020,3.4,megajoule per eur
2010,132.9,2015 = 100
2011,122.6,2015 = 100
2012,122.9,2015 = 100
2013,124.9,2015 = 100
2014,116.4,2015 = 100
2015,115.7,2015 = 100
2016,114.2,2015 = 100
2017,111.4,2015 = 100
2018,107.4,2015 = 100
2019,103.3,2015 = 100
2020,100.0,2015 = 100
