Year,Value,Units
2010,3.3,"1,000 tonnes"
2011,2.9,"1,000 tonnes"
2012,2.4,"1,000 tonnes"
2013,3.0,"1,000 tonnes"
2014,2.3,"1,000 tonnes"
2015,2.4,"1,000 tonnes"
2016,2.2,"1,000 tonnes"
2017,2.4,"1,000 tonnes"
2018,2.0,"1,000 tonnes"
2019,2.9,"1,000 tonnes"
2020,2.8,"1,000 tonnes"
2021,2.5,"1,000 tonnes"
2022,2.6,"1,000 tonnes"
2023,3.9,"1,000 tonnes"
2010,87.1,kilogram per capita
2011,80.7,kilogram per capita
2012,78.4,kilogram per capita
2013,71.7,kilogram per capita
2014,68.0,kilogram per capita
2015,56.5,kilogram per capita
2016,48.0,kilogram per capita
2017,50.6,kilogram per capita
2018,55.5,kilogram per capita
2019,49.4,kilogram per capita
2020,54.7,kilogram per capita
2021,56.7,kilogram per capita
2022,55.0,kilogram per capita
2023,58.1,kilogram per capita
