Year,Value,Units,Series
2019,1197.0,million tonnes,domestic material consumption (dmc)
2020,1160.0,million tonnes,domestic material consumption (dmc)
2021,1191.0,million tonnes,domestic material consumption (dmc)
2010,15.4,tonnes per capita,domestic material consumption (dmc)
2019,14.4,tonnes per capita,domestic material consumption (dmc)
2020,14.0,tonnes per capita,domestic material consumption (dmc)
2021,14.3,tonnes per capita,domestic material consumption (dmc)
2010,107.7,2015 = 100,domestic material consumption per real gdp
2019,89.5,2015 = 100,domestic material consumption per real gdp
2020,90.1,2015 = 100,domestic material consumption per real gdp
2021,90.1,2015 = 100,domestic material consumption per real gdp
