Year,Value
2010,48.8
2011,49.2
2012,49.7
2013,50.2
2014,50.5
2015,50.9
2016,51.6
2017,52.1
2018,52.4
2019,52.6
2020,52.9
2021,53.6
2022,53.6
2023,53.4
