Year,Value,Units
2010,49.03,"per 100,000 inhabitants"
2011,49.32,"per 100,000 inhabitants"
2012,49.51,"per 100,000 inhabitants"
2013,49.94,"per 100,000 inhabitants"
2014,50.13,"per 100,000 inhabitants"
2015,50.34,"per 100,000 inhabitants"
2016,51.13,"per 100,000 inhabitants"
2017,51.14,"per 100,000 inhabitants"
2018,51.74,"per 100,000 inhabitants"
2019,52.48,"per 100,000 inhabitants"
2020,53.5,"per 100,000 inhabitants"
2021,53.5,"per 100,000 inhabitants"
2022,53.5,"per 100,000 inhabitants"
2023,53.5,"per 100,000 inhabitants"
2024,56.4,"per 100,000 inhabitants"
2010,1.0,number
2011,1.0,number
2012,1.0,number
2013,1.0,number
2014,1.0,number
2015,1.0,number
2016,1.0,number
2017,1.0,number
2018,1.0,number
2019,1.0,number
2020,1.0,number
2021,1.0,number
2022,1.0,number
2023,1.0,number
2024,1.0,number
