Year,Value,GeoCode
2010,118.9,
2011,120.9,
2012,118.3,
2013,118.0,
2014,123.1,
2015,121.6,
2016,132.2,
2017,118.8,
2018,119.9,
2019,119.0,
2020,116.8,
2021,113.1,
2022,109.0,
2024,104.6,
