Year,Value,Units,Series
2010,51.2,million tonnes carbon,above-ground biomass stock in forest
2011,49.0,million tonnes carbon,above-ground biomass stock in forest
2012,50.8,million tonnes carbon,above-ground biomass stock in forest
2013,53.4,million tonnes carbon,above-ground biomass stock in forest
2018,53.0,million tonnes carbon,above-ground biomass stock in forest
2019,49.4,million tonnes carbon,above-ground biomass stock in forest
2020,45.2,million tonnes carbon,above-ground biomass stock in forest
2021,49.3,million tonnes carbon,above-ground biomass stock in forest
2020,29.1,percentage,forest area located within protected areas
2021,30.8,percentage,forest area located within protected areas
2010,27.5,percentage,forest area net change rate
2011,25.9,percentage,forest area net change rate
2013,27.6,percentage,forest area net change rate
2014,26.4,percentage,forest area net change rate
2015,26.1,percentage,forest area net change rate
2016,26.0,percentage,forest area net change rate
2017,26.0,percentage,forest area net change rate
2020,23.6,percentage,forest area net change rate
2021,23.5,percentage,forest area net change rate
2010,13.9,percentage,forest area under an independently verified forest management certification scheme
2011,13.2,percentage,forest area under an independently verified forest management certification scheme
2012,13.5,percentage,forest area under an independently verified forest management certification scheme
2013,13.6,percentage,forest area under an independently verified forest management certification scheme
2014,13.0,percentage,forest area under an independently verified forest management certification scheme
2015,13.0,percentage,forest area under an independently verified forest management certification scheme
2016,13.3,percentage,forest area under an independently verified forest management certification scheme
2017,13.4,percentage,forest area under an independently verified forest management certification scheme
2018,13.4,percentage,forest area under an independently verified forest management certification scheme
2019,13.2,percentage,forest area under an independently verified forest management certification scheme
