Year,Value,Series
2010,18.949,share of water withdrawal in renewable water resources
2011,17.509,share of water withdrawal in renewable water resources
2012,15.956,share of water withdrawal in renewable water resources
2013,15.188,share of water withdrawal in renewable water resources
2014,15.214,share of water withdrawal in renewable water resources
2015,14.56,share of water withdrawal in renewable water resources
2016,14.464,share of water withdrawal in renewable water resources
2017,13.374,share of water withdrawal in renewable water resources
2018,13.333,share of water withdrawal in renewable water resources
2019,12.993,share of water withdrawal in renewable water resources
2020,13.225,share of water withdrawal in renewable water resources
2021,12.097,share of water withdrawal in renewable water resources
2022,11.723,share of water withdrawal in renewable water resources
