Year,Value,Series
2010,12171366.24,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2011,12259124.467,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2012,12357497.507,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2013,12458418.937,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2014,12534161.681,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2015,12586428.78,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2016,12828449.534,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2017,12915156.22,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2018,13079997.866,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2019,13362069.354,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2020,13362069.354,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2021,13362069.354,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2022,13410677.803,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2023,13410677.803,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2024,13410677.8,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020
2010,34.042,(b) implementation of the principles of biodiversity in the seea
2011,34.287,(b) implementation of the principles of biodiversity in the seea
2012,34.562,(b) implementation of the principles of biodiversity in the seea
2013,34.844,(b) implementation of the principles of biodiversity in the seea
2014,35.056,(b) implementation of the principles of biodiversity in the seea
2015,35.203,(b) implementation of the principles of biodiversity in the seea
2016,35.879,(b) implementation of the principles of biodiversity in the seea
2017,36.122,(b) implementation of the principles of biodiversity in the seea
2018,36.583,(b) implementation of the principles of biodiversity in the seea
2019,37.372,(b) implementation of the principles of biodiversity in the seea
2020,37.372,(b) implementation of the principles of biodiversity in the seea
2021,37.372,(b) implementation of the principles of biodiversity in the seea
2022,37.508,(b) implementation of the principles of biodiversity in the seea
2023,37.508,(b) implementation of the principles of biodiversity in the seea
2024,37.508,(b) implementation of the principles of biodiversity in the seea
