Year,type of financial flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,official development assistance,,,,0.37
2011,official development assistance,,,,0.36
2012,official development assistance,,,,0.35
2013,official development assistance,,,,0.37
2014,official development assistance,,,,0.41
2015,official development assistance,,,,0.51
2016,official development assistance,,,,0.68
2017,official development assistance,,,,0.65
2018,official development assistance,,,,0.61
2019,official development assistance,,,,0.59
2020,official development assistance,,,,0.73
2021,official development assistance,,,,0.72
2022,official development assistance,p,,,0.84
2023,official development assistance,p,,,0.88
2024,official development assistance,p,,,0.68
2010,bilateral and imputed multilateral official development assistance for ldcs,,,,0.1
2011,bilateral and imputed multilateral official development assistance for ldcs,,,,0.09
2012,bilateral and imputed multilateral official development assistance for ldcs,,,,0.1
2013,bilateral and imputed multilateral official development assistance for ldcs,,,,0.09
2014,bilateral and imputed multilateral official development assistance for ldcs,,,,0.09
2015,bilateral and imputed multilateral official development assistance for ldcs,,,,0.07
2016,bilateral and imputed multilateral official development assistance for ldcs,,,,0.1
2017,bilateral and imputed multilateral official development assistance for ldcs,,,,0.11
2018,bilateral and imputed multilateral official development assistance for ldcs,,,,0.12
2019,bilateral and imputed multilateral official development assistance for ldcs,,,,0.11
2020,bilateral and imputed multilateral official development assistance for ldcs,,,,0.14
2021,bilateral and imputed multilateral official development assistance for ldcs,,,,0.14
2022,bilateral and imputed multilateral official development assistance for ldcs,p,,,0.11
2023,bilateral and imputed multilateral official development assistance for ldcs,p,,,0.2
2024,bilateral and imputed multilateral official development assistance for ldcs,p,,,0.08
