Year,Time series,Outcome of the application process,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Applications received,,.,,,
2020,Applications received,,,,,3.6
2021,Applications received,,…,,,
2019,Applications finally processed,,.,,,
2020,Applications finally processed,,,,,1.9
2021,Applications finally processed,,…,,,
2019,Applications finally processed,Admissible applications,.,,,
2020,Applications finally processed,Admissible applications,,,,3.6
2021,Applications finally processed,Admissible applications,…,,,
2019,Applications finally processed,Rejected applications,.,,,
2020,Applications finally processed,Rejected applications,,,,1.3
2021,Applications finally processed,Rejected applications,…,,,
