Year,Units,Value
2011,a) Hazardous waste generated per capita (kg per capita),
2013,a) Hazardous waste generated per capita (kg per capita),
2015,a) Hazardous waste generated per capita (kg per capita),
2017,a) Hazardous waste generated per capita (kg per capita),
2018,a) Hazardous waste generated per capita (kg per capita),
2011,b) Hazardous waste treated (%),
2013,b) Hazardous waste treated (%),
2015,b) Hazardous waste treated (%),
2017,b) Hazardous waste treated (%),
2018,b) Hazardous waste treated (%),
