Year,Units,Value
2010,Gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2011,Gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2012,Gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2013,Gross value added of medium- and high-tech industries to total manufacturing value added (%),59.0
2014,Gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2015,Gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2016,Gross value added of medium- and high-tech industries to total manufacturing value added (%),61.0
2017,Gross value added of medium- and high-tech industries to total manufacturing value added (%),
2018,Gross value added of medium- and high-tech industries to total manufacturing value added (%),
