Year,Units,Value
2011,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",74.0
2013,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",75.0
2015,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",77.0
2017,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",77.0
