Year,Units,Value
2010.0,Proportion of R&D expenditures to GDP (%),2.7
2011.0,Proportion of R&D expenditures to GDP (%),2.8
2012.0,Proportion of R&D expenditures to GDP (%),2.9
2013.0,Proportion of R&D expenditures to GDP (%),2.8
2014.0,Proportion of R&D expenditures to GDP (%),2.9
2015.0,Proportion of R&D expenditures to GDP (%),2.9
2016.0,Proportion of R&D expenditures to GDP (%),2.9
2017.0,Proportion of R&D expenditures to GDP (%),3.0
2018.0,Proportion of R&D expenditures to GDP (%),
,Proportion of R&D expenditures to GDP (%),5.0
