Year,Units,Value
2014,average hourly earnings of employees (eur/h),17.78
2010,gender pay gap (%),22.0
2011,gender pay gap (%),22.0
2012,gender pay gap (%),23.0
2013,gender pay gap (%),22.0
2014,gender pay gap (%),22.0
2015,gender pay gap (%),22.0
2016,gender pay gap (%),21.0
2017,gender pay gap (%),21.0
2018,gender pay gap (%),21.0
