Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,23,9
bavaria,23,9
berlin,23,9
brandenburg,23,9
bremen,23,9
germany,10,2
hamburg,23,9
hesse,22,9
lower saxony,22,9
mecklenburg western pomerania,22,9
north rhine-westphalia,23,9
rhineland palatinate,23,9
saarland,21,9
saxony-anhalt,22,9
saxony,22,9
schleswig-holstein,22,9
thuringia,22,9
