Value,Disaggregation combinations using this value,Number of indicators
bilateral and imputed multilateral official development assistance for ldcs,1,1
official development assistance,41,7
officially supported export credits,2,1
other official flows,38,6
private grants,2,1
private sector flows at market terms,2,1
