Value,en,Disaggregation combinations using this value,Number of indicators
copied or moved a file and folder,Copying or moving of files and folders,2,1
installed software or applications (apps),Installing software or apps,2,1
transferred files between computer and other devices,Transferring files between computer and other devices,2,1
"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts","Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",2,1
written code in a programming language,Writing code in a programming language,2,1
