Indicator,Disaggregation combinations using this value
#11-7-2,1
#16-7-1,1
#17-13-1,1
#2-4-1,1
#3-3-1,3
#3-5-1,2
#4-a-1,4
#6-3-1,1
#6-4-1,8
#7-1-2,1
