Value,en,Disaggregation combinations using this value,Number of indicators
Sicher behandeltes Abwasser (insgesamt),Wastewater safely treated (total),1,1
"Abwasser, das keiner Abwasserbehandlung bedarf",Untreated wastewater that does not have to undergo treatment,3,1
