Indicator,Disaggregation combinations using this value
#1-a-2,3
#1-b-1,1
#10-1-1,2
#10-2-1,6
#10-4-1,1
#10-4-2,3
#11-1-1,6
#11-4-1,2
#13-2-2,17
#15-2-1,4
#15-a-1,1
#16-1-1,1
#16-1-3,1
#17-1-1,1
#17-1-2,2
#17-13-1,13
#17-2-1,1
#17-7-1,3
#2-3-1,2
#2-a-1,1
#3-5-2,2
#7-2-1,1
#7-3-1,2
#8-1-1,1
#8-2-1,1
#9-1-1,1
#9-1-2,1
#9-2-1,3
#9-2-2,1
#9-5-1,1
#9-5-2,1
