Value,Disaggregation combinations using this value,Number of indicators
accommodation for visitors: hotels and similar establishments,7,1
accommodation for visitors: other,6,1
"agriculture, forestry and fishing (wz-code a)",1,1
"agriculture, forestry and fishing",5,1
agriculture,2,1
air passenger transport,6,1
construction (wz-code f),1,1
cultural activities,3,1
education (wz-code p),1,1
"electricity, gas, steam and air conditioning supply (wz-code d)",1,1
food and beverage serving activities,6,1
forestry,2,1
information and communication (wz-code j),1,1
manufacturing (wz-code c),1,1
mimec,5,1
mining and quarrying (wz-code b),1,1
"other services (wz-code g, h, i, k, l, n, q, r, s, t and u)",1,1
"professional, scientific and technical activities (wz-code m)",1,1
public administration and defence; compulsory social security (wz-code o),1,1
railway passenger transport,3,1
road passenger transport,6,1
services,5,1
sports and recreational activities,3,1
transport equipment rental,6,1
travel agencies and other reservation service activities,6,1
water passenger transport,6,1
"water supply; sewerage, waste management and remediation activities (wz-code e)",1,1
