Value,Disaggregation combinations using this value,Number of indicators
a) branches of payment service providers,2,1
a) physical violence,45,1
a) reporting rate for physical violence,55,1
agricultural holdings with the legal form of a sole proprietorship,2,1
annual growth rate of real gdp,3,1
at least one population and housing census in the last 10 years conducted,3,1
at-risk-of-poverty rate,6,1
available income of private households,3,1
b) atms of national payment service providers,2,1
b) psychological violence,34,1
b) reporting rate for psychological violence,24,1
basel convention,2,1
birth registration,2,1
bundesrat (upper chamber),6,1
c) reporting rate for sexual violence,75,1
c) sexual violence,63,1
child deliveries in hospitals,2,1
consumption by private households,3,1
current tobacco use (age-standardised to who standard population),1,1
current tobacco use,3,1
data from lfs from federal statistical office,6,1
data from na from federal statistical office,2,1
"data from the federal ministry of agriculture, food and community",1,1
data from the federal statistical office,43,1
death registration,2,1
debts of the total public budget,3,1
dtp vaccination coverage at school entry,4,1
environmental protection expenditure,4,1
fatal occupational accidents,2,1
female owners of agricultural holdings with the legal form of a sole proprietorship,2,1
flowing water with good ecological status for total phosphorous,1,1
german bundestag (lower chamber),6,1
gini coefficient of equivalised disposable income before social transfers (pre-fiscal),2,1
gini coefficient of equivalised disposable income (post-fiscal),2,1
government fiscal balance,1,1
gross fixed capital formation,2,1
groundwater mesuring points below the threshold value for nitrate,1,1
hours worked by employees,1,1
hours worked by persons employed,2,1
hpv vaccination coverages among 15 years old girls and boys,5,1
judiciary,20,1
labour productivity per hour worked by employee,2,1
labour productivity per hour worked by persons employed,2,1
land consumption rate,6,1
level of risk of extinction (according to fao classification),6,1
level of risk of extinction (according to national classification),8,1
live births in total,1,1
"local livestock breeds (horses, cows, pigs, sheep and goats)",2,1
marine areas covered by effective protected areas,6,1
marine areas covered by protected areas,7,1
marine key biodiversity areas (kbas) covered by protected areas,5,1
measles vaccination coverage at school entry,3,1
minamata convention,2,1
montreal protocol,2,1
mountain key biodiversity areas (kbas) covered by protected areas,4,1
"mountain regions, covered by effective protected areas",4,1
"mountain regions, covered by protected areas",4,1
non-fatal occupational accidents,6,1
non-performing loans to total gross loans,2,1
"number of victims per 100,000 of non-sexual harassment",39,1
"number of victims per 100,000 of sexual harassment",51,1
oda (commitments) for biodiversity,7,2
oda (gross disbursements) for biodiversity,13,2
oda (gross disbursements) to the forestry sector,2,1
overweight,4,1
owned and leased agricultural land,6,1
persons at risk of poverty or social exclusion,6,1
persons employed,3,1
persons living in households with very low work intensity,8,1
pneumococcal vaccination coverage at school entry,3,1
population covered by health insurance,3,1
population growth rate,7,1
population with (own) bathtub or shower,5,1
population with (own) toilet,5,1
progress toward productive and sustainable agriculture (proxy),6,1
proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),1,1
proportion of oda (net disbursements) to gni,2,1
proportion of persons with disabilities receiving benefits,24,1
proportion of population covered by at least one social protection cash benefit,19,1
proportion of settlement and transport areas to population,6,1
public service,27,1
ratio of land consumption rate to population growth rate,6,1
ratio of liquid assets to short-term liabilities,2,1
ratio of non-performing loans (net of risk provisions) to balance sheet capital,2,1
ratio of open foreign exchange position to regulatory capital,2,1
ratio of regulatory capital to all weighted risk positions,2,1
ratio of regulatory (tier 1) capital to all weighted risk positions,2,1
real gdp per capita,3,1
redistributive impact of fiscal policy,2,1
rotterdam convention,2,1
score for the implementation of unclos and ist two implementing agreements,2,1
score for the ratification of and accession to unclos and ist two implementing agreements,3,1
severely materially and socially deprived persons,10,1
stockholm convention,2,1
terrestrial and freshwater areas covered by effective protected areas,4,1
terrestrial and freshwater areas covered by protected areas,4,1
terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,5,1
total return on assets,2,1
trade balance,2,1
unemployed persons with unemployment benefits,1,1
victims of non-sexual harassment,49,1
victims of sexual harassment,45,1
wasting,4,1
working-age population,3,1
