Value,en,Disaggregation combinations using this value,Number of indicators
a) Schulen mit Zugang zu Elektrizität,a) Schools with access to electricity,1,1
e) Schulen mit Zugang zu Trinkwasser,e) Schools with access to basic drinking water,1,1
"f) Schulen mit Zugang zu geschlechterspezifische, grundlegende sanitäre Anlagen",f) Schools with access to single-sex basic sanitation facilities,1,1
g) Schulen mit Zugang zu grundlegende Einrichtungen zum Händewaschen,g) Schools with access to basic handwashing facilities,1,1
