Value,en,Disaggregation combinations using this value,Number of indicators
Öffentliche Nettoentwicklungsausgaben (ODA),ODA (net disbursements),1,1
Öffentlich unterstützte Exportkredite (Nettoauszahlungen),Officially Supported Export Credits (net disbursements),1,1
Andere öffentliche Nettoleistungen (OOF),OOF (net disbursements),1,1
Private konzessionäre Leistungen der Nichtregierungsorganisationen (Nettoauszahlungen),Private Concessional Flows (net disbursements),1,1
Private Leistungen zu marktüblichen Bedingungen (Nettoauszahlungen),Private Sector Flows at market terms (net disbursements),1,1
