Value,Disaggregation combinations using this value,Number of indicators
-,31,8
‒,31,6
0,32,7
0.0,1,1
...,11,1
.,349,62
|,266,33
…,130,15
p,110,33
r,114,50
s,13,9
x,3,2
X,1,1
