Value,en,Disaggregation combinations using this value,Number of indicators
share of withdrawal in renewable water resources (excluding cooling water),Share of withdrawal in renewable water resources (excluding cooling water),1,1
share of withdrawal in renewable water resources,Share of withdrawal in renewable water resources,1,1
