Value,en,Disaggregation combinations using this value,Number of indicators
Gebiete der Klasse 3 (Höhe 2500-3500 Meter),Class 3 areas (elavation 2500-3500 meters),1,1
Gebiete der Klasse 4 (Höhe 1500-2500 Meter),Class 4 areas (elavation 1500-2500 meters),1,1
Gebiete der Klasse 5 (Höhe 1000-1500 Meter),Class 5 areas (elavation 1000-1500 meters),1,1
Gebiete der Klasse 6 (Höhe  300-1000 Meter),Class 6 areas (elavation 300-1000 meters),1,1
