Value,en,Disaggregation combinations using this value,Number of indicators
sdg indicator 4-2-2,sdg indicator 4-2-2,1,1
sdg indicator 4-3-1 (adults),sdg indicator 4-3-1 (adults),1,1
sdg indicator 4-3-1 (youth),sdg indicator 4-3-1 (youth),1,1
