Value,Disaggregation combinations using this value,Number of indicators
score 0 = no compilation of accountsscore 1 = compilation of accountsscore 2 = dissemination of accountsscore 3 = regular compilation and dissemination of accounts,1,1
"score 0.0 = no national target reflecting aichi biodiversity target 2score 0.2 = national target exists, but moving away from itscore 0.4 = national target exists, but no progressscore 0.6 = national target exists and progress is there, but at as insufficient ratescore 0.8 = national target exists and progress is on track to achieve itscore 1.0 = national target exists and progress is on track to exceed it",1,1
