Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,31,9
bavaria,32,9
berlin,33,9
brandenburg,31,9
bremen,31,9
germany,8,2
hamburg,31,9
hesse,31,9
lower saxony,31,9
mecklenburg western pomerania,32,9
north rhine-westphalia,30,9
rhineland palatinate,31,9
saarland,31,9
saxony-anhalt,33,9
saxony,31,9
schleswig-holstein,31,9
thuringia,30,9
