Value,Disaggregation combinations using this value,Number of indicators
commercial company,5,1
gene bank,5,1
increase project,6,1
individual,4,1
national agricultural research centre,6,1
non-governmental organization,5,1
other,6,1
regional organization,5,1
university,5,1
unknown,4,1
