Value,en,Disaggregation combinations using this value,Number of indicators
a) over 144 kbps to under 2 mbps,a) Over 144 Kbps to under 2 Mbps,1,1
b) 2 mbps to under 10 mbps,b) 2 Mbps to under 10 Mbps,1,1
c) 10 mbps to under 30 mbps,c) 10 Mbps to under 30 Mbps,1,1
d) 30 mbps to under 100 mbps,d) 30 Mbps to under 100 Mbps,1,1
e) 100 mbps and over,e) 100 Mbps and over,1,1
