Value,en,Disaggregation combinations using this value,Number of indicators
population considering their dwelling as too dark,Population considering their dwelling as too dark,1,1
"population living in an area with crime, violence or vandalism","Population living in an area with crime, violence or vandalism",1,1
population living in an area with noise pollution,Population living in an area with noise pollution,1,1
population living in households with moisture damages,Population living in households with moisture damages,1,1
total (one to four items),Total (one to four items),1,1
