Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,107317
2011,,,,113317
2012,,,,110065
2013,,,,112613
2014,,,,112629
2015,,,,116632
2016,|,,,138361
2017,,,,140716
2018,,,,139664
2019,,,,138247
2020,,,,128018
2021,,,,141033
2022,,,,144336
2023,,,,134433
