Year,Time series,Value
2010,neonatal mortality,2.3
2011,neonatal mortality,2.4
2012,neonatal mortality,2.2
2013,neonatal mortality,2.2
2014,neonatal mortality,2.2
2015,neonatal mortality,2.3
2016,neonatal mortality,2.4
2017,neonatal mortality,2.3
