Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,,,,98.6
2014,,,,99.3
2015,,,,116.8
2016,,,,112.7
2017,,,,132.1
2018,,,,131.3
2019,,,,136.9
2020,,,,99.3
2021,,,,122.6
2022,,,,89.5
2023,,,,114.9
2024,,,,97.5
