Year,Units,Zeitreihe,Value
2010,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2011,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2012,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2013,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2014,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2015,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2016,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2017,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2018,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",69.0
2019,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70.0
2020,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",70.0
2021,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",71.0
2022,Prozent,"Schlüsselgebiete der biologischen Vielfalt der Land- und Süßwasserökosysteme, die unter Schutz stehen",72.0
2010,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12171366.24
2011,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12259124.467
2012,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12357497.507
2013,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12458418.937
2014,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12534161.681
2015,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12586428.78
2016,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12828449.534
2017,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",12915156.22
2018,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",13079997.866
2019,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",13362069.354
2020,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",13362069.354
2021,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",13362069.354
2022,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",13410677.803
2010,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",34.042
2011,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",34.287
2012,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",34.562
2013,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",34.844
2014,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",35.056
2015,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",35.203
2016,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",35.879
2017,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",36.122
2018,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",36.583
2019,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",37.372
2020,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",37.372
2021,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",37.372
2022,Prozent,"Fläche der Land- und Süßwasserökosysteme, die unter Schutz steht",37.508
2010,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5089703.403
2011,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5093891.158
2012,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5100975.527
2013,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5108865.457
2014,Hektar,"Fläche der Land- und Süßwasserökosysteme, die unter effektivem Schutz steht",5119865.548
