Year,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,Weiblich,,,,42.8
2017,Weiblich,,,,38.8
2020,Weiblich,|,,,13.1
2012,Männlich,,,,28.3
2017,Männlich,,,,27.3
2020,Männlich,|,,,37.2
