Year,Zeitreihe,Value
2015,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war",70.7
2017,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war",74.1
