Year,Zeitreihe,Geschlecht,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Tödliche Arbeitsunfälle,,,,,,1.2
2011,Tödliche Arbeitsunfälle,,,,,,1.2
2012,Tödliche Arbeitsunfälle,,,,,,1.2
2013,Tödliche Arbeitsunfälle,,,,,,1.0
2014,Tödliche Arbeitsunfälle,,,,,,1.2
2015,Tödliche Arbeitsunfälle,,,,,,1.0
2016,Tödliche Arbeitsunfälle,,,,,,1.0
2017,Tödliche Arbeitsunfälle,,,|,,,0.9
2018,Tödliche Arbeitsunfälle,,,,,,0.8
2019,Tödliche Arbeitsunfälle,,,,,,0.8
2020,Tödliche Arbeitsunfälle,,,|,,,0.7
2021,Tödliche Arbeitsunfälle,,,,,,0.8
2022,Tödliche Arbeitsunfälle,,,,,,0.7
2023,Tödliche Arbeitsunfälle,,,,,,0.7
2024,Tödliche Arbeitsunfälle,,,,,,0.6
2010,Tödliche Arbeitsunfälle,Weiblich,,,,,0.2
2011,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2012,Tödliche Arbeitsunfälle,Weiblich,,,,,0.2
2013,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2014,Tödliche Arbeitsunfälle,Weiblich,,,,,0.2
2015,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2016,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2017,Tödliche Arbeitsunfälle,Weiblich,,|,,,0.1
2018,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2019,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2020,Tödliche Arbeitsunfälle,Weiblich,,|,,,0.1
2021,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2022,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2023,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2024,Tödliche Arbeitsunfälle,Weiblich,,,,,0.1
2010,Tödliche Arbeitsunfälle,Männlich,,,,,2.1
2011,Tödliche Arbeitsunfälle,Männlich,,,,,2.2
2012,Tödliche Arbeitsunfälle,Männlich,,,,,2.1
2013,Tödliche Arbeitsunfälle,Männlich,,,,,1.9
2014,Tödliche Arbeitsunfälle,Männlich,,,,,2.1
2015,Tödliche Arbeitsunfälle,Männlich,,,,,1.8
2016,Tödliche Arbeitsunfälle,Männlich,,,,,1.8
2017,Tödliche Arbeitsunfälle,Männlich,,|,,,1.6
2018,Tödliche Arbeitsunfälle,Männlich,,,,,1.4
2019,Tödliche Arbeitsunfälle,Männlich,,,,,1.4
2020,Tödliche Arbeitsunfälle,Männlich,,|,,,1.3
2021,Tödliche Arbeitsunfälle,Männlich,,,,,1.5
2022,Tödliche Arbeitsunfälle,Männlich,,,,,1.3
2023,Tödliche Arbeitsunfälle,Männlich,,,,,1.3
2024,Tödliche Arbeitsunfälle,Männlich,,,,,1.1
2010,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",.,,,
2011,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",.,,,
2012,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",.,,,
2013,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",.,,,
2014,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",,,,2.9
2015,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",,,,2.2
2016,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",,,,2.3
2017,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",|,,,2.3
2018,Tödliche Arbeitsunfälle,,"Land- und Forstwirtschaft, Fischerei (Abschnitt A)",,,,2.6
