Year,Zeitreihe,Value
2010,goverment expenditure on environmental protection (cofog division 5) (bn eur),15.479000000000001
2011,goverment expenditure on environmental protection (cofog division 5) (bn eur),15.796
2012,goverment expenditure on environmental protection (cofog division 5) (bn eur),16.569000000000003
2013,goverment expenditure on environmental protection (cofog division 5) (bn eur),17.375999999999998
2014,goverment expenditure on environmental protection (cofog division 5) (bn eur),17.689
2015,goverment expenditure on environmental protection (cofog division 5) (bn eur),17.795
2016,goverment expenditure on environmental protection (cofog division 5) (bn eur),19.279
2017,goverment expenditure on environmental protection (cofog division 5) (bn eur),20.671999999999997
2018,goverment expenditure on environmental protection (cofog division 5) (bn eur),22.021
2010,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",20.991999999999997
2011,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",21.55
2012,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",20.680999999999997
2013,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",29.03
2014,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",30.52
2015,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",31.142
2016,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",32.285
2017,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",33.277
2018,"goverment expenditure on recreation, culture and religion (cofog division 8) (bn eur)",34.961
