Year,Antimikrobiell-resistente Organismen,Value
2018,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),12.18
2018,Methicillin-resistente Staphylococcus aureus (MRSA),7.56
