Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,,,,,,70.9
2017,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,,,,,,71.7
2019,Anzahl,Opfer nicht-sexueller Belästigung,,,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,,,,,,73.6
2021,Anzahl,Opfer nicht-sexueller Belästigung,,,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,,,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,,,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,,,,88.4
2017,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,,,,88.8
2019,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,,,,89.4
2021,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,,,,79.7
2017,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,,,,80.7
2019,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,,,,81.7
2021,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,,Männlich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,,,,74.9
2017,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,,,,75.9
2019,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,,,,72.4
2021,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,71.8
2017,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,74.2
2019,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,75.4
2021,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2011,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2012,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2013,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2014,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2015,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2016,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,71.6
2017,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2018,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,71.7
2019,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,.,,,
2020,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,72.7
2021,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,…,,,
2022,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,…,,,
2023,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.3
2011,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.0
2012,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.4
2013,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,92.8
2014,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.3
2015,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,93.6
2016,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,93.6
2017,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.2
2018,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.5
2019,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,93.7
2020,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.5
2021,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.4
2022,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,94.8
2023,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,93.3
2011,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,91.6
2012,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,92.7
2013,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,90.2
2014,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,95.2
2015,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,91.5
2016,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,91.3
2017,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,92.2
2018,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,90.3
2019,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,90.2
2020,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,89.7
2021,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,89.0
2022,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,95.1
2023,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,97.5
2011,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,98.4
2012,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,96.7
2013,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,89.5
2014,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,96.3
2015,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,98.1
2016,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,95.8
2017,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,95.6
2018,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,96.4
2019,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,97.0
2020,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,98.8
2021,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,97.6
2022,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,99.4
2023,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,97.7
2011,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,96.1
2012,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,94.6
2013,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,94.8
2014,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,97.1
2015,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,96.7
2016,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,96.7
2017,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,95.4
2018,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,96.3
2019,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,95.5
2020,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,95.1
2021,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,97.6
2022,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,93.5
2023,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,…,,,
2024,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,,…,,,
2010,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,95.2
2011,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.2
2012,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,97.8
2013,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.2
2014,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,94.1
2015,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,92.9
2016,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.1
2017,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.1
2018,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,95.3
2019,Anzahl,Opfer nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.2
