Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,.,,,
2016,.,,,
2017,.,,,
2018,.,,,
2019,.,,,
2020,.,,,
2021,,,,99.6
2022,,,,99.7
2023,,,,99.8
2024,,,,99.8
