Year,Status,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2011,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2012,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2013,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2014,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2015,Vertragspartei,,,,1) Basler Übereinkommen,1.0
2016,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2017,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2018,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2019,Vertragspartei,.,,,1) Basler Übereinkommen,1.0
2020,Vertragspartei,,,,1) Basler Übereinkommen,1.0
2021,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2022,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2023,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2024,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2025,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2026,Vertragspartei,…,,,1) Basler Übereinkommen,1.0
2010,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2011,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2012,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2013,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2014,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2015,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2016,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2017,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2018,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2019,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2020,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2021,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2022,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2023,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2024,Berichtspflicht erfüllt,,,,1) Basler Übereinkommen,1.0
2010,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2011,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2012,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2013,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2014,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2015,Vertragspartei,,,,2) Montrealer Protokoll,1.0
2016,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2017,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2018,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2019,Vertragspartei,.,,,2) Montrealer Protokoll,1.0
2020,Vertragspartei,,,,2) Montrealer Protokoll,1.0
2021,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2022,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2023,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2024,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2025,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2026,Vertragspartei,…,,,2) Montrealer Protokoll,1.0
2010,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2011,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2012,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2013,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2014,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2015,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2016,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2017,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2018,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2019,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2020,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2021,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2022,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2023,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2024,Berichtspflicht erfüllt,,,,2) Montrealer Protokoll,1.0
2010,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2011,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2012,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2013,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2014,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2015,Vertragspartei,,,,3) Rotterdamer Übereinkommen,1.0
2016,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2017,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2018,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2019,Vertragspartei,.,,,3) Rotterdamer Übereinkommen,1.0
2020,Vertragspartei,,,,3) Rotterdamer Übereinkommen,1.0
2021,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2022,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2023,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2024,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2025,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2026,Vertragspartei,…,,,3) Rotterdamer Übereinkommen,1.0
2010,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2011,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2012,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2013,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2014,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2015,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2016,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2017,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2018,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2019,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2020,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2021,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2022,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2023,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
2024,Berichtspflicht erfüllt,,,,3) Rotterdamer Übereinkommen,1.0
