Year,Units,Zeitreihe,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,Zusagen,,,,2375.7
2010,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,206.08
2011,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,196.46
2012,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,174.26
2013,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,147.59
2014,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,93.06
2015,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,120.22
2016,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,104.76
2017,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,87.53
2018,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,88.07
2019,"Millionen USD, konstante Preise (2024)",Stipendien,Zusagen,,,,89.54
