Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,,,,97.8
2013,,,,98.2
2014,,,,97.4
2015,,,,98.0
2016,,,,97.0
2017,,,,102.0
2018,,,,103.8
2019,,,,100.5
2020,,,,79.4
2021,,,,88.4
2022,,,,97.5
2023,,,,101.7
2024,,,,102.3
