Year,Units,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,10.5
2015,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,10.2
2016,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.7
2017,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.4
2018,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.8
2019,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.0
2020,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),|,,,10.2
2021,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.9
2022,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,8.5
2023,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,8.3
2024,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,9.0
2010,"Millionen USD, konstante Preise (2023)",,,,,9.4
2011,"Millionen USD, konstante Preise (2023)",,,,,8.0
2012,"Millionen USD, konstante Preise (2023)",,,,,7.8
2013,"Millionen USD, konstante Preise (2023)",,,,,7.2
2014,"Millionen USD, konstante Preise (2023)",,,,,8.2
2015,"Millionen USD, konstante Preise (2023)",,,,,7.8
2016,"Millionen USD, konstante Preise (2023)",,,,,7.8
2017,"Millionen USD, konstante Preise (2023)",,,,,6.9
2018,"Millionen USD, konstante Preise (2023)",,,,,7.6
2019,"Millionen USD, konstante Preise (2023)",,,,,5.7
2020,"Millionen USD, konstante Preise (2023)",,|,,,9.9
2021,"Millionen USD, konstante Preise (2023)",,,,,9.3
2022,"Millionen USD, konstante Preise (2023)",,,,,7.5
2023,"Millionen USD, konstante Preise (2023)",,,,,7.5
2024,"Millionen USD, konstante Preise (2023)",,,,,7.8
2010,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,9.8
2011,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.8
2012,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.4
2013,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.5
2014,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,11.5
2015,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,11.3
2016,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.4
2017,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.2
2018,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,10.4
2019,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,9.6
2020,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),|,,,9.9
2021,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,9.4
2022,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,8.2
2023,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,8.1
2024,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,8.9
2010,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,7.0
2011,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,7.3
2012,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,8.4
2013,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,8.0
2014,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.1
2015,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.0
2016,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.4
2017,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.2
2018,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.7
2019,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.8
2020,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),|,,,11.5
2021,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,11.8
2022,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,10.0
2023,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,9.6
2024,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,10.4
2010,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.3
2011,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.9
2012,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.1
2013,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.9
2014,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.7
2015,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.3
2016,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.1
2017,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.6
2018,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.0
2019,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.4
2020,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),|,,,10.6
2021,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10.1
2022,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,8.9
2023,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,8.7
2024,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9.3
2010,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.0
2011,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.4
2012,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,9.0
2013,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,8.9
2014,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,10.2
2015,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,10.1
