Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,5821.554
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,6134.421
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,4714.046
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,5704.318
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,7960.565
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,7014.711
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,6130.056
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3723.94
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3516.525
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3494.979
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4053.479
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3950.262
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4998.658
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4765.878
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4853.424
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4986.407
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5329.253
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5089.921
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,4965.618
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,6079.011
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5871.279
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,6125.98
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,48.328
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,264.907
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,26.829
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,97.798
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,171.186
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,345.652
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,383.678
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,1766.679
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,970.999
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,1283.46
