Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,water withdrawal,18.949
2011,,,,,water withdrawal,17.509
2012,,,,,water withdrawal,15.956
2013,,,,,water withdrawal,15.188
2014,,,,,water withdrawal,15.214
2015,,,,,water withdrawal,14.56
2016,,,,,water withdrawal,14.464
2017,,,,,water withdrawal,13.374
2018,,,,,water withdrawal,13.333
2019,,,,,water withdrawal,12.993
2020,,,,,water withdrawal,13.225
2021,,,,,water withdrawal,12.097
2022,,,,,water withdrawal,11.723
2010,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,1.979
2011,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,2.47
2012,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,2.735
2013,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,2.751
2014,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,2.906
2015,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,3.439
2016,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,3.264
2017,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,3.542
2018,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,4.556
2019,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,4.408
2020,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,4.396
2021,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,3.737
2022,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawal by sector,5.16
2010,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,75.898
2011,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,73.682
2012,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,71.087
2013,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,69.247
2014,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,69.284
2015,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,67.391
2016,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,66.817
2017,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,64.893
2018,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,63.221
2019,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,62.045
2020,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,63.135
2021,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,61.558
2022,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawal by sector,58.753
2010,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,21.001
2011,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,22.67
2012,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,24.857
2013,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,26.531
2014,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,26.539
2015,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,27.968
2016,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,28.763
2017,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,30.437
2018,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,31.114
2019,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,32.32
2020,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,31.567
2021,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,33.953
2022,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawal by sector,35.459
