Year,Units,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,,,,16303.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,16060.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,16423.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,16440.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,17193.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,18068.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,18925.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,r,,,20453.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,,,,,21639.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,18342.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,17238.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,17207.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,16679.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,15118.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,13916.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,13260.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,13064.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,13403.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,13504.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,14027.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,14625.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,15432.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,r,,,16583.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Female,,,,17639.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,4677.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,4298.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,4089.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,4059.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,3696.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,3323.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,3043.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,2996.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,3020.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,2936.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,3166.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,3443.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,3493.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,r,,,3870.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",18 to under 21 years,Male,,,,4000.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1652.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1495.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1495.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1440.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1395.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1269.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1251.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1183.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1251.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1266.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1288.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1423.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1554.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,r,,,1757.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,,,,,1771.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,978.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,880.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,905.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,902.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,884.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,823.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,788.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,791.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,792.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,834.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,845.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,906.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,1023.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,r,,,1144.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Female,,,,1131.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,674.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,615.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,590.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,538.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,511.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,446.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,463.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,392.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,459.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,432.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,443.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,517.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,531.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,r,,,613.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",21 to under 60 years,Male,,,,640.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,7523.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8011.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8306.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8161.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8356.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8262.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,8599.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,8350.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,8817.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,8031.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,9319.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,|,r,,9035.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,9640.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,r,,,10166.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,,,,,10773.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,6624.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7050.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7400.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7269.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7381.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7296.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,7525.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,7273.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,7628.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,6840.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,7967.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,|,r,,7673.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,8152.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,r,,,8451.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Female,,,,8839.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,899.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,961.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,906.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,892.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,975.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,966.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,1074.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1077.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1189.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1191.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1352.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,|,r,,1362.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1488.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,r,,,1715.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of non-sexual harassment",60 years and older,Male,,,,1934.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,0.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,0.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,0.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,0.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,0.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,|,r,,47.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,144.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,r,,,130.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,,,,,140.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,0.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,0.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,0.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,0.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,0.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,|,r,,32.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,118.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,r,,,107.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Female,,,,91.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,0.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,0.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,0.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,0.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,0.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,|,r,,15.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,26.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,r,,,23.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",,Male,,,,49.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1267.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1362.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1356.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1384.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1368.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1245.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1149.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,1104.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,1110.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,931.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,1067.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,|,r,,1070.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,1243.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,r,,,1208.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,,,,,1367.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1112.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1217.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1221.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1235.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1228.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1151.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1024.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,955.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,958.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,811.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,928.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,|,r,,936.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,1076.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,r,,,1022.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Female,,,,1152.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,155.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,145.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,135.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,149.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,140.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,94.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,125.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,149.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,152.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,120.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,139.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,|,r,,134.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,167.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,r,,,186.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",13 years and younger,Male,,,,215.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,796.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,811.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,808.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,752.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,809.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,803.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,776.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,931.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,878.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,725.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,969.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,|,r,,883.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,925.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,r,,,934.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,,,,,1040.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,728.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,747.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,752.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,694.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,754.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,740.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,702.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,858.0
2018,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,783.0
2019,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,640.0
2020,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,876.0
2021,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,|,r,,789.0
2022,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,826.0
2023,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,r,,,825.0
2024,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Female,,,,901.0
2010,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,68.0
2011,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,64.0
2012,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,56.0
2013,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,58.0
2014,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,55.0
2015,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,63.0
2016,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,,,,74.0
2017,"Per 100,000 inhabitants","Number of victims per 100,000 of sexual harassment",14 to under 18 years,Male,r,,,73.0
