Year,timeseries,age group,sex,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,c) reporting rate for sexual violence,,female,,,.,,,
2020,c) reporting rate for sexual violence,,female,,,|,,,40.1
2021,c) reporting rate for sexual violence,,female,,,…,,,
2022,c) reporting rate for sexual violence,,female,,,…,,,
2023,c) reporting rate for sexual violence,,female,,,…,,,
2010,c) reporting rate for sexual violence,,male,,,.,,,
2011,c) reporting rate for sexual violence,,male,,,.,,,
2012,c) reporting rate for sexual violence,,male,,,,,,15.9
2013,c) reporting rate for sexual violence,,male,,,.,,,
2014,c) reporting rate for sexual violence,,male,,,.,,,
2015,c) reporting rate for sexual violence,,male,,,.,,,
2016,c) reporting rate for sexual violence,,male,,,.,,,
2017,c) reporting rate for sexual violence,,male,,,,,,46.6
2018,c) reporting rate for sexual violence,,male,,,.,,,
2019,c) reporting rate for sexual violence,,male,,,.,,,
2020,c) reporting rate for sexual violence,,male,,,|,,,77.0
2021,c) reporting rate for sexual violence,,male,,,…,,,
2022,c) reporting rate for sexual violence,,male,,,…,,,
2023,c) reporting rate for sexual violence,,male,,,…,,,
2010,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2013,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2018,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,,,,physical sexual assault,|,,,52.6
2021,c) reporting rate for sexual violence,,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,,,,34.1
2013,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,,,,40.0
2018,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,|,,,21.3
2021,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,16 to under 25 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,,,,32.3
2013,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,,,,34.6
2018,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,|,,,40.3
2021,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,25 to under 35 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,,,,33.6
2013,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,,,,32.0
2018,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,|,,,24.0
2021,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,35 to under 45 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,,,,28.0
2013,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,,,,29.8
2018,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,|,,,12.6
2021,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,45 to under 55 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,,,,34.2
2013,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,,,,25.0
2018,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,|,,,23.0
2021,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,55 to under 65 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,,,,35.8
2013,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,,,,39.3
2018,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,|,,,40.4
2021,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,65 to under 75 years,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,,,,33.7
2013,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,,,,44.6
2018,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,|,,,43.2
2021,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,75 years and older,,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,,female,,physical sexual assault,,,,59.3
2013,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,,female,,physical sexual assault,,,,31.1
2018,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,,female,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,,female,,physical sexual assault,|,,,19.3
2021,c) reporting rate for sexual violence,,female,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,,female,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,,female,,physical sexual assault,…,,,
2010,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2011,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2012,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2013,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2014,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2015,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2016,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2017,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2018,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2019,c) reporting rate for sexual violence,,male,,physical sexual assault,.,,,
2020,c) reporting rate for sexual violence,,male,,physical sexual assault,|,,,90.9
2021,c) reporting rate for sexual violence,,male,,physical sexual assault,…,,,
2022,c) reporting rate for sexual violence,,male,,physical sexual assault,…,,,
2023,c) reporting rate for sexual violence,,male,,physical sexual assault,…,,,
