Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,,,,0.79
2012,,,,0.82
2013,,,,0.5
2014,,,,0.75
2015,,,,0.74
2016,,,,1.45
2017,,,,0.56
2018,,,,0.97
2019,,,,0.41
2020,,,,0.5
2021,,,,0.34
2022,,,,0.7
2023,,,,0.78
