Year,Units,Messgröße,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2633.6
2020,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2711.0
2021,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2668.6
2022,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,3391.2
2023,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2409.8
2024,"Millionen USD, konstante Preise (2024)",Zusagen,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,2590.0
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,488.8
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,667.8
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,898.8
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,902.9
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1009.7
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,970.9
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1304.6
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,1817.1
