Year,Value,Units,Series
2010,36,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2011,35,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2012,35,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2013,33,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2014,33,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2015,32,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2016,32,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2017,33,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2018,30,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2019,29,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2020,25,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2021,23,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2022,23,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2023,22,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2024,24,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,Plastikmüll an Stränden der deutschen Nordsee-Küste
2010,35,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2011,28,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2012,28,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2013,28,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2014,24,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2015,21,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2016,21,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2017,22,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2018,22,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2019,23,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2020,21,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2021,20,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2022,21,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2023,22,Prozent,Plastikmüll in Mägen von Eissturmvögeln
2024,24,Prozent,Plastikmüll in Mägen von Eissturmvögeln
