Year,Value,Series
2010,18.949,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2011,17.509,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2012,15.956,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2013,15.188,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2014,15.214,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2015,14.56,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2016,14.464,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2017,13.374,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2018,13.333,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2019,12.993,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2020,13.225,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2021,12.097,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
2022,11.723,Anteil der Wasserentnahme an den erneuerbaren Wasserressourcen
